"size","gender","age","edu","wealthC"
5,"2",6,0,4
5,"2",24,1,3
5,"2",15,1,3
5,"1",7,0,3
5,"1",8,0,3
5,"1",1,0,3
15,"1",39,3,5
15,"2",30,3,5
15,"2",19,2,5
15,"2",13,1,5
15,"2",11,1,5
15,"1",10,1,5
15,"2",6,0,5
15,"1",5,0,5
15,"1",4,0,5
15,"1",17,2,5
15,"1",15,2,5
15,"1",17,2,5
15,"1",16,1,5
15,"2",19,2,5
15,"1",10,0,5
7,"2",24,1,3
7,"1",5,0,3
7,"2",68,0,3
7,"2",8,0,3
7,"2",39,0,3
7,"1",0,0,3
7,"1",37,0,3
13,"1",45,2,5
13,"1",80,0,5
13,"1",26,1,5
13,"1",30,3,5
13,"1",22,2,5
13,"1",28,1,5
13,"2",30,1,5
13,"2",19,2,5
13,"2",5,0,5
13,"2",19,1,5
13,"1",5,0,5
13,"1",10,1,5
13,"1",0,0,5
7,"1",40,2,4
7,"2",37,1,4
7,"2",20,1,4
7,"2",16,1,4
7,"1",8,0,4
7,"2",7,0,4
7,"2",4,0,4
2,"1",85,1,2
2,"2",68,0,2
13,"1",47,2,2
13,"2",39,1,2
13,"2",18,2,2
13,"1",13,1,2
13,"1",12,1,2
13,"1",8,0,2
13,"1",14,1,2
13,"1",12,0,2
13,"2",3,0,2
13,"2",3,0,2
13,"1",2,0,2
13,"2",65,0,2
13,"2",0,0,2
11,"2",39,1,4
11,"1",22,2,4
11,"1",15,1,4
11,"1",11,0,4
11,"2",10,1,4
11,"1",7,0,4
11,"1",6,0,4
11,"2",7,0,4
11,"2",12,0,4
11,"1",9,0,4
11,"2",4,0,4
7,"1",36,2,2
7,"2",30,0,2
7,"2",15,1,2
7,"1",12,1,2
7,"1",9,0,2
7,"2",5,0,2
7,"2",1,0,2
5,"2",37,2,5
5,"1",7,0,5
5,"1",13,1,5
5,"1",0,0,5
5,"2",15,1,5
5,"2",35,2,4
5,"1",17,2,4
5,"1",10,1,4
5,"2",6,0,4
5,"1",3,0,4
8,"1",44,0,3
8,"2",42,0,3
8,"2",13,1,3
8,"2",12,1,3
8,"1",11,1,3
8,"2",8,0,3
8,"1",7,0,3
8,"1",6,0,3
3,"1",31,2,3
3,"2",22,1,3
3,"1",2,0,3
8,"2",43,1,3
8,"1",14,1,3
8,"2",15,1,3
8,"1",15,1,3
8,"2",8,0,3
8,"1",8,0,3
8,"2",4,0,3
8,"2",13,0,3
3,"2",81,2,5
3,"2",16,2,5
3,"1",16,2,5
4,"2",44,2,4
4,"2",23,2,4
4,"2",4,0,4
4,"2",21,2,4
4,"2",38,2,3
4,"2",7,0,3
4,"2",9,0,3
4,"2",12,2,3
2,"1",56,2,4
2,"2",19,2,4
2,"1",69,0,2
2,"2",84,0,2
7,"2",28,1,3
7,"1",31,2,3
7,"1",40,1,3
7,"2",13,1,3
7,"1",7,0,3
7,"1",4,0,3
7,"1",16,1,3
5,"2",64,2,4
5,"2",49,1,4
5,"1",2,0,4
5,"2",13,1,4
5,"1",9,1,4
5,"1",46,2,4
5,"1",26,2,4
5,"2",23,0,4
5,"1",4,0,4
5,"2",18,2,4
5,"1",64,3,4
5,"2",60,2,4
5,"1",20,3,4
5,"1",13,2,4
5,"2",7,0,4
9,"1",54,1,4
9,"2",51,0,4
9,"2",15,2,4
9,"2",15,2,4
9,"1",13,1,4
9,"1",12,1,4
9,"2",10,1,4
9,"2",24,2,4
9,"2",0,0,4
5,"1",34,2,5
5,"2",28,0,5
5,"1",10,1,5
5,"2",12,1,5
5,"1",1,0,5
2,"2",24,2,4
2,"2",3,0,4
6,"2",43,2,5
6,"2",18,2,5
6,"2",16,1,5
6,"2",15,2,5
6,"1",3,0,5
6,"2",12,1,5
4,"1",53,2,4
4,"2",49,2,4
4,"2",16,2,4
4,"1",8,1,4
1,"1",18,2,3
6,"1",42,2,5
6,"2",35,2,5
6,"2",15,2,5
6,"1",4,0,5
6,"2",9,1,5
6,"1",18,0,5
3,"1",32,3,5
3,"2",25,2,5
3,"2",13,1,5
4,"1",42,2,4
4,"1",19,1,4
4,"2",8,0,4
4,"1",3,0,4
6,"1",45,3,4
6,"1",22,3,4
6,"1",21,2,4
6,"2",17,2,4
6,"1",20,2,4
6,"2",4,0,4
4,"1",32,3,5
4,"2",28,3,5
4,"2",6,0,5
4,"2",13,1,5
1,"1",32,3,3
5,"1",32,3,5
5,"2",28,2,5
5,"2",19,2,5
5,"2",13,1,5
5,"1",4,0,5
6,"1",39,2,5
6,"2",26,2,5
6,"2",7,0,5
6,"2",4,0,5
6,"2",0,0,5
6,"2",0,0,5
3,"1",29,3,5
3,"2",1,0,5
3,"2",23,2,5
5,"1",34,3,4
5,"2",25,2,4
5,"1",23,2,4
5,"2",13,1,4
5,"2",0,0,4
22,"2",76,0,5
22,"1",84,0,5
22,"2",26,3,5
22,"1",16,1,5
22,"2",9,1,5
22,"1",31,3,5
22,"2",18,1,5
22,"1",15,1,5
22,"1",19,2,5
22,"2",4,0,5
22,"1",5,0,5
22,"1",17,1,5
22,"2",8,0,5
22,"1",9,0,5
22,"2",27,2,5
22,"2",26,3,5
22,"1",2,0,5
22,"1",1,0,5
22,"2",6,0,5
22,"2",2,0,5
22,"1",11,1,5
22,"1",1,0,5
6,"2",55,1,5
6,"2",16,1,5
6,"2",17,1,5
6,"2",9,1,5
6,"2",18,2,5
6,"1",10,1,5
11,"2",42,2,4
11,"2",16,2,4
11,"2",24,3,4
11,"2",14,1,4
11,"2",10,1,4
