"","location","size","wealth","gender","age","education"
"702",5,5,2,1,37,2
"703",5,5,2,1,52,0
"704",5,4,1,1,32,0
"705",5,5,1,1,54,0
"706",5,8,2,1,41,2
"707",5,11,2,1,68,0
"708",5,7,1,1,28,1
"709",5,9,2,1,45,0
"710",5,5,2,1,40,0
"711",5,3,1,1,35,2
"712",5,9,2,2,36,1
"713",5,9,1,2,58,9
"714",5,9,1,1,64,0
"715",5,4,2,2,65,0
"716",5,7,1,2,47,0
"717",5,8,1,1,32,0
"718",5,7,3,1,32,2
"719",5,8,1,1,58,0
"720",5,6,1,1,65,0
"721",5,6,1,1,39,0
"722",5,3,1,1,39,0
"723",5,10,1,1,70,0
"724",5,7,2,1,42,1
"725",5,5,2,1,49,0
"726",5,5,2,2,37,1
"727",5,5,1,2,53,0
"728",5,6,2,1,39,0
"729",5,6,3,2,30,0
"730",5,4,4,1,29,2
"731",5,7,3,2,37,0
"732",5,5,1,1,41,2
"733",5,8,2,2,29,1
"734",5,6,3,1,44,2
"735",5,9,3,1,40,2
"736",5,5,3,1,27,0
"737",5,5,3,1,53,0
"738",5,5,1,1,29,2
"739",5,3,3,1,34,2
"740",5,6,1,1,38,1
"741",5,3,3,1,37,1
"742",5,2,3,1,36,2
"743",5,7,2,1,35,2
"744",5,7,3,1,51,0
"745",5,6,4,1,32,1
"746",5,10,2,1,54,0
"747",5,12,2,1,40,1
"748",5,6,1,1,43,1
"749",5,9,3,1,27,2
"750",5,5,3,2,23,0
"751",5,9,4,1,28,2
"752",5,7,3,1,45,2
"753",5,4,2,2,53,0
"754",5,10,3,1,52,2
"755",5,5,2,1,30,1
"756",5,4,2,1,31,2
"757",5,5,2,1,69,2
"758",5,5,5,1,35,2
"759",10,11,3,1,65,1
"760",10,3,3,1,34,2
"761",10,7,3,1,68,2
"762",10,3,1,2,28,0
"763",10,5,2,1,22,2
"764",10,8,1,1,26,2
"765",10,4,2,1,34,2
"766",10,2,4,1,29,2
"767",10,2,3,1,22,1
"768",10,6,2,1,60,0
"769",10,4,1,1,33,0
"770",10,5,1,2,75,1
"771",10,3,2,1,28,2
"772",10,4,1,1,37,1
"773",10,8,4,1,65,1
"774",10,6,1,1,26,2
"775",10,4,3,1,34,2
"776",10,4,1,2,45,1
"777",10,5,4,1,33,2
"778",10,8,2,1,66,0
"779",10,5,2,2,56,0
"780",10,1,1,2,80,0
"781",10,1,2,1,28,1
"782",10,3,2,1,45,1
"783",10,8,2,1,45,1
"784",10,7,3,1,45,2
"785",10,4,1,1,33,0
"786",10,8,3,1,78,0
"787",10,12,2,1,68,1
"788",8,3,2,2,68,0
"789",8,6,3,1,29,0
"790",8,1,2,1,37,0
"791",8,8,3,1,27,2
"792",8,7,2,1,38,0
"793",8,1,2,1,42,0
"794",8,9,2,2,45,0
"795",8,6,2,1,43,2
"796",8,10,2,2,55,0
"797",8,3,1,1,80,2
"798",8,6,2,1,36,1
"799",8,4,2,2,60,0
"800",8,7,2,1,45,0
"801",8,4,2,1,35,2
"802",8,4,3,1,53,2
"803",8,8,2,1,44,0
"804",8,5,2,2,46,0
"805",8,2,1,1,26,1
"806",8,2,3,1,70,2
"807",8,9,1,1,36,0
"808",8,3,2,1,37,0
"809",8,4,2,1,35,0
"810",8,9,1,1,42,2
"811",8,9,2,1,41,0
"812",8,5,1,1,39,2
"813",8,13,3,1,35,0
"814",8,5,2,1,78,0
"815",8,10,2,2,55,0
"816",2,4,1,2,38,0
"817",2,7,3,1,35,1
"818",2,4,3,2,42,0
"819",2,3,2,1,49,0
"820",2,3,1,2,26,0
"821",2,6,2,1,33,2
"822",2,4,2,1,26,0
"823",2,3,1,2,60,0
"824",2,1,2,1,31,0
"825",2,8,3,1,66,0
"826",2,7,1,1,47,0
